Match ID,Second,Result,Player,Race,Current Workers,Food Used,Food Available,Current Minerals,Minerals Collection Rate,Minerals Used in Progress,Minerals Used,Minerals Used Active Forces,Minerals Lost,Current Vespene,Vespene Collection Rate,Vespene Used in Progress,Vespene Used,Vespene Used Active Forces,Vespene Lost
0,0,Loss,Player 1 - MCanning (Protoss),P,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
0,0,Win,Player 2 - DisK (Protoss),P,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
0,30,Loss,Player 1 - MCanning (Protoss),P,13,14.0,15.0,50,727,150,1050,0,0,0,0,0,0,0,0
0,30,Win,Player 2 - DisK (Protoss),P,13,14.0,15.0,50,699,150,1050,0,0,0,0,0,0,0,0
0,60,Loss,Player 1 - MCanning (Protoss),P,15,16.0,23.0,40,839,200,1250,0,0,0,0,0,0,0,0
0,60,Win,Player 2 - DisK (Protoss),P,15,16.0,23.0,30,783,200,1250,0,0,0,0,0,0,0,0
0,90,Loss,Player 1 - MCanning (Protoss),P,18,19.0,23.0,60,951,350,1400,0,0,0,0,0,0,0,0
0,90,Win,Player 2 - DisK (Protoss),P,18,19.0,23.0,105,923,350,1400,0,0,0,0,0,0,0,0
0,120,Loss,Player 1 - MCanning (Protoss),P,20,21.0,23.0,20,839,350,1800,0,0,40,179,0,0,0,0
0,120,Win,Player 2 - DisK (Protoss),P,20,21.0,23.0,35,923,350,1800,0,0,28,134,0,0,0,0
0,150,Loss,Player 1 - MCanning (Protoss),P,22,23.0,23.0,105,811,450,1900,0,0,132,268,0,0,0,0
0,150,Win,Player 2 - DisK (Protoss),P,22,23.0,23.0,160,895,450,1900,0,0,104,223,0,0,0,0
0,180,Loss,Player 1 - MCanning (Protoss),P,24,28.0,31.0,80,979,250,2400,0,0,94,313,100,0,0,0
0,180,Win,Player 2 - DisK (Protoss),P,24,29.0,31.0,80,923,300,2400,0,0,74,335,100,0,0,0
0,210,Loss,Player 1 - MCanning (Protoss),P,25,29.0,31.0,155,895,350,2450,0,0,14,313,100,0,0,0
0,210,Win,Player 2 - DisK (Protoss),P,25,33.0,39.0,75,1035,250,2800,250,0,90,335,100,100,100,0
