Match ID,Second,Result,Player,Race,Current Workers,Food Used,Food Available,Current Minerals,Minerals Collection Rate,Minerals Used in Progress,Minerals Used,Minerals Used Active Forces,Minerals Lost,Current Vespene,Vespene Collection Rate,Vespene Used in Progress,Vespene Used,Vespene Used Active Forces,Vespene Lost
0,0,Loss,Player 1 - Namshar (Zerg),Z,12,12.0,14.0,50,0,0,1050,0,0,0,0,0,0,0,0
0,0,Win,Player 2 - MCanning (Protoss),P,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
0,30,Loss,Player 1 - Namshar (Zerg),Z,13,14.0,14.0,50,699,150,1100,0,0,0,0,0,0,0,0
0,30,Win,Player 2 - MCanning (Protoss),P,13,14.0,15.0,45,671,150,1050,0,0,0,0,0,0,0,0
0,60,Loss,Player 1 - Namshar (Zerg),Z,16,16.0,22.0,240,839,0,1350,0,0,0,0,0,0,0,0
0,60,Win,Player 2 - MCanning (Protoss),P,15,16.0,23.0,10,727,200,1250,0,0,0,0,0,0,0,0
0,90,Loss,Player 1 - Namshar (Zerg),Z,16,18.0,22.0,85,839,450,1350,0,0,0,0,0,0,0,0
0,90,Win,Player 2 - MCanning (Protoss),P,18,19.0,23.0,200,867,200,1400,0,0,0,0,0,0,0,0
0,120,Loss,Player 1 - Namshar (Zerg),Z,17,19.0,22.0,310,923,425,1400,0,0,0,0,0,0,0,0
0,120,Win,Player 2 - MCanning (Protoss),P,19,20.0,23.0,180,951,350,1600,0,0,0,0,0,0,0,0
0,150,Loss,Player 1 - Namshar (Zerg),Z,19,19.0,22.0,240,811,600,1575,0,0,36,156,0,0,0,0
0,150,Win,Player 2 - MCanning (Protoss),P,20,20.0,31.0,75,1035,600,1750,0,0,0,0,0,0,0,0
0,180,Loss,Player 1 - Namshar (Zerg),Z,16,16.0,22.0,75,615,800,1675,0,0,52,22,0,0,0,0
0,180,Win,Player 2 - MCanning (Protoss),P,20,20.0,31.0,121,1007,675,1900,0,0,0,0,0,0,0,0
0,210,Loss,Player 1 - Namshar (Zerg),Z,14,17.0,22.0,25,671,1300,1575,0,0,52,0,0,0,0,0
0,210,Win,Player 2 - MCanning (Protoss),P,20,22.0,31.0,56,867,850,2125,0,0,24,134,0,0,0,0
0,240,Loss,Player 1 - Namshar (Zerg),Z,16,19.0,22.0,185,559,550,1975,0,50,12,156,0,0,0,0
0,240,Win,Player 2 - MCanning (Protoss),P,20,22.0,31.0,66,811,300,2975,100,0,72,134,0,0,0,0
0,270,Loss,Player 1 - Namshar (Zerg),Z,17,25.0,28.0,115,783,350,2525,150,50,72,179,0,0,0,0
0,270,Win,Player 2 - MCanning (Protoss),P,20,22.0,31.0,271,867,400,2825,100,0,128,156,0,0,0,0
0,300,Loss,Player 1 - Namshar (Zerg),Z,19,25.0,28.0,105,811,400,2725,250,50,28,156,100,0,0,0
0,300,Win,Player 2 - MCanning (Protoss),P,20,24.0,39.0,101,923,625,3075,100,0,138,179,50,0,0,0
0,330,Loss,Player 1 - Namshar (Zerg),Z,19,26.0,36.0,250,839,200,2975,400,150,88,179,100,0,0,0
0,330,Win,Player 2 - MCanning (Protoss),P,20,28.0,39.0,46,867,350,3600,225,0,94,156,100,50,50,0
0,360,Loss,Player 1 - Namshar (Zerg),Z,20,30.0,36.0,370,923,300,2775,450,350,144,156,100,0,0,0
0,360,Win,Player 2 - MCanning (Protoss),P,20,28.0,39.0,26,867,425,3750,375,100,104,179,50,150,150,0
