Match ID,Second,Result,Player,Race,Current Workers,Food Used,Food Available,Current Minerals,Minerals Collection Rate,Minerals Used in Progress,Minerals Used,Minerals Used Active Forces,Minerals Lost,Current Vespene,Vespene Collection Rate,Vespene Used in Progress,Vespene Used,Vespene Used Active Forces,Vespene Lost
0,0,Loss,Player 1 - Vindicta (Terran),T,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
0,0,Win,Player 2 - Cuddlebear (Terran),T,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
0,30,Loss,Player 1 - Vindicta (Terran),T,13,14.0,15.0,40,671,150,1050,0,0,0,0,0,0,0,0
0,30,Win,Player 2 - Cuddlebear (Terran),T,13,14.0,15.0,45,699,150,1050,0,0,0,0,0,0,0,0
0,60,Loss,Player 1 - Vindicta (Terran),T,15,16.0,23.0,130,727,125,1250,0,0,0,0,0,0,0,0
0,60,Win,Player 2 - Cuddlebear (Terran),T,15,16.0,23.0,135,727,125,1250,0,0,0,0,0,0,0,0
0,90,Loss,Player 1 - Vindicta (Terran),T,17,18.0,23.0,45,643,275,1425,0,0,32,156,0,0,0,0
0,90,Win,Player 2 - Cuddlebear (Terran),T,17,18.0,23.0,130,671,200,1425,0,0,28,156,0,0,0,0
0,120,Loss,Player 1 - Vindicta (Terran),T,18,19.0,23.0,225,643,200,1550,0,0,104,223,0,0,0,0
0,120,Win,Player 2 - Cuddlebear (Terran),T,18,19.0,23.0,345,783,200,1475,0,0,88,179,0,0,0,0
0,150,Loss,Player 1 - Vindicta (Terran),T,19,20.0,23.0,95,643,350,1750,0,0,62,268,150,0,0,0
0,150,Win,Player 2 - Cuddlebear (Terran),T,19,20.0,23.0,425,839,200,1675,0,0,94,156,50,0,0,0
0,180,Loss,Player 1 - Vindicta (Terran),T,19,22.0,23.0,85,895,350,1950,50,0,72,156,150,50,50,0
0,180,Win,Player 2 - Cuddlebear (Terran),T,19,21.0,23.0,75,895,650,1875,50,0,4,156,150,50,50,0
0,210,Loss,Player 1 - Vindicta (Terran),T,21,26.0,31.0,320,1175,200,2300,50,0,86,179,50,150,50,0
0,210,Win,Player 2 - Cuddlebear (Terran),T,21,23.0,23.0,145,1007,825,1975,50,0,60,156,150,50,50,0
0,240,Loss,Player 1 - Vindicta (Terran),T,23,28.0,31.0,165,1063,550,2550,200,0,150,179,50,200,100,0
0,240,Win,Player 2 - Cuddlebear (Terran),T,22,28.0,31.0,235,895,650,2400,50,0,128,201,0,200,50,0
0,270,Loss,Player 1 - Vindicta (Terran),T,22,30.0,31.0,195,1007,800,2550,250,100,114,179,100,250,150,0
0,270,Win,Player 2 - Cuddlebear (Terran),T,23,29.0,31.0,155,755,750,2600,200,100,128,313,100,150,0,50
0,300,Loss,Player 1 - Vindicta (Terran),T,23,30.0,39.0,360,1175,775,2750,300,150,99,179,175,200,100,50
0,300,Win,Player 2 - Cuddlebear (Terran),T,23,33.0,54.0,120,755,250,3300,250,200,244,313,0,250,0,50
0,330,Loss,Player 1 - Vindicta (Terran),T,24,30.0,39.0,330,951,700,2875,50,400,82,335,125,325,50,100
0,330,Win,Player 2 - Cuddlebear (Terran),T,24,32.0,54.0,45,1203,500,3350,250,400,189,358,175,250,0,50
0,360,Loss,Player 1 - Vindicta (Terran),T,26,36.0,54.0,165,1035,550,3475,100,450,14,380,300,300,0,150
0,360,Win,Player 2 - Cuddlebear (Terran),T,26,36.0,54.0,413,1455,150,3750,350,400,414,313,0,275,0,50
0,390,Loss,Player 1 - Vindicta (Terran),T,28,44.0,54.0,300,1315,450,3975,350,450,65,492,325,400,100,150
0,390,Win,Player 2 - Cuddlebear (Terran),T,29,44.0,54.0,28,1679,450,4000,450,400,309,335,225,275,0,50
0,420,Loss,Player 1 - Vindicta (Terran),T,32,50.0,54.0,35,1427,850,4375,550,450,262,470,100,600,300,150
0,420,Win,Player 2 - Cuddlebear (Terran),T,32,51.0,62.0,188,1903,975,4400,550,400,296,313,325,300,0,50
0,450,Loss,Player 1 - Vindicta (Terran),T,34,58.0,62.0,75,1567,900,4825,800,450,117,492,325,700,400,150
0,450,Win,Player 2 - Cuddlebear (Terran),T,35,53.0,70.0,208,1595,950,4825,650,500,378,403,125,500,200,50
0,480,Loss,Player 1 - Vindicta (Terran),T,37,62.0,70.0,285,1539,850,5175,900,450,85,470,325,700,400,150
0,480,Win,Player 2 - Cuddlebear (Terran),T,38,60.0,70.0,198,1819,1100,5125,800,500,301,358,125,625,325,50
0,510,Loss,Player 1 - Vindicta (Terran),T,40,73.0,93.0,120,1903,975,6075,1150,450,140,492,325,1025,725,150
0,510,Win,Player 2 - Cuddlebear (Terran),T,42,67.0,93.0,53,2127,825,6225,900,600,246,313,125,750,450,50
0,540,Loss,Player 1 - Vindicta (Terran),T,44,78.0,101.0,95,1623,875,6700,1400,450,316,559,200,1150,850,150
0,540,Win,Player 2 - Cuddlebear (Terran),T,45,77.0,93.0,88,2323,550,7000,1050,600,178,425,125,750,450,50
0,570,Loss,Player 1 - Vindicta (Terran),T,47,86.0,101.0,237,1931,1100,7100,1500,450,415,649,325,1150,850,150
0,570,Win,Player 2 - Cuddlebear (Terran),T,50,93.0,93.0,138,2631,800,7650,1450,600,85,649,325,875,575,50
0,600,Loss,Player 1 - Vindicta (Terran),T,51,95.0,109.0,317,2491,400,8300,1850,450,126,671,175,1475,1175,150
0,600,Win,Player 2 - Cuddlebear (Terran),T,52,100.0,101.0,218,2491,900,8200,1800,650,217,649,200,1000,700,50
0,630,Loss,Player 1 - Vindicta (Terran),T,55,100.0,109.0,272,2519,900,8500,1850,500,233,649,175,1475,1175,150
0,630,Win,Player 2 - Cuddlebear (Terran),T,55,104.0,125.0,358,2603,750,8800,1950,950,249,649,200,1200,900,50
0,660,Loss,Player 1 - Vindicta (Terran),T,60,109.0,109.0,122,2211,1025,9050,1950,700,197,851,425,1525,1175,275
0,660,Win,Player 2 - Cuddlebear (Terran),T,61,117.0,133.0,608,2463,650,9550,2300,950,360,671,225,1300,1000,50
0,690,Loss,Player 1 - Vindicta (Terran),T,61,117.0,117.0,192,2351,1100,10075,2400,700,241,963,300,1950,1500,275
0,690,Win,Player 2 - Cuddlebear (Terran),T,64,129.0,133.0,476,2659,1150,9975,2650,1025,275,380,425,1300,1000,50
0,720,Loss,Player 1 - Vindicta (Terran),T,58,118.0,141.0,28,1511,950,10275,2450,1350,376,627,425,1950,1500,275
0,720,Win,Player 2 - Cuddlebear (Terran),T,66,138.0,141.0,716,2659,1150,10525,3000,1325,126,492,425,1625,1325,50
0,750,Loss,Player 1 - Vindicta (Terran),T,61,113.0,141.0,183,2351,700,10275,2050,2150,292,627,300,2025,1375,525
0,750,Win,Player 2 - Cuddlebear (Terran),T,69,130.0,149.0,351,2435,1400,10625,2400,2225,298,492,325,1600,1200,175
0,780,Loss,Player 1 - Vindicta (Terran),T,63,106.0,141.0,258,2547,800,9875,1350,3223,86,761,425,1500,725,1391
0,780,Win,Player 2 - Cuddlebear (Terran),T,69,132.0,165.0,111,2351,1250,10975,2400,2825,69,604,425,1825,1425,275
0,810,Loss,Player 1 - Vindicta (Terran),T,66,115.0,141.0,163,2967,850,10375,1700,3223,64,985,300,1625,850,1391
0,810,Win,Player 2 - Cuddlebear (Terran),T,74,141.0,165.0,221,2267,1550,11525,2700,2825,78,783,525,1825,1425,275
0,840,Loss,Player 1 - Vindicta (Terran),T,69,129.0,149.0,493,3163,650,11350,2550,3273,187,940,125,1825,1150,1491
0,840,Win,Player 2 - Cuddlebear (Terran),T,72,139.0,196.0,726,2323,150,12825,3200,3075,207,851,0,2350,1750,275
1,0,Win,Player 1 - Vindicta (Terran),T,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
1,0,Loss,Player 2 - Cuddlebear (Terran),T,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
1,30,Win,Player 1 - Vindicta (Terran),T,13,14.0,15.0,50,671,150,1050,0,0,0,0,0,0,0,0
