Match ID,Second,Result,Player,Race,Current Workers,Food Used,Food Available,Current Minerals,Minerals Collection Rate,Minerals Used in Progress,Minerals Used,Minerals Used Active Forces,Minerals Lost,Current Vespene,Vespene Collection Rate,Vespene Used in Progress,Vespene Used,Vespene Used Active Forces,Vespene Lost
0,0,Win,Player 1 - Namshar (Zerg),Z,12,12.0,14.0,50,0,0,1050,0,0,0,0,0,0,0,0
0,0,Loss,Player 2 - Cuddlebear (Terran),T,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
0,30,Win,Player 1 - Namshar (Zerg),Z,13,14.0,14.0,55,727,150,1100,0,0,0,0,0,0,0,0
0,30,Loss,Player 2 - Cuddlebear (Terran),T,13,14.0,15.0,35,615,150,1050,0,0,0,0,0,0,0,0
0,60,Win,Player 1 - Namshar (Zerg),Z,14,15.0,22.0,35,783,300,1250,0,0,0,0,0,0,0,0
0,60,Loss,Player 2 - Cuddlebear (Terran),T,15,15.0,23.0,50,615,150,1250,0,0,0,0,0,0,0,0
0,90,Win,Player 1 - Namshar (Zerg),Z,17,17.0,22.0,255,923,250,1400,0,0,0,0,0,0,0,0
0,90,Loss,Player 2 - Cuddlebear (Terran),T,15,15.0,23.0,125,643,300,1250,0,0,0,0,0,0,0,0
0,120,Win,Player 1 - Namshar (Zerg),Z,17,17.0,22.0,235,923,600,1400,0,0,0,0,0,0,0,0
0,120,Loss,Player 2 - Cuddlebear (Terran),T,16,17.0,23.0,135,727,500,1300,0,0,0,0,0,0,0,0
0,150,Win,Player 1 - Namshar (Zerg),Z,16,21.0,22.0,145,1007,675,1750,150,0,0,0,0,0,0,0
0,150,Loss,Player 2 - Cuddlebear (Terran),T,17,19.0,23.0,45,755,450,1700,50,0,0,0,0,0,0,0
0,180,Win,Player 1 - Namshar (Zerg),Z,16,23.0,30.0,90,811,700,2075,300,0,36,156,0,0,0,0
0,180,Loss,Player 2 - Cuddlebear (Terran),T,17,22.0,31.0,15,727,250,2150,100,50,0,0,0,0,0,0
0,210,Win,Player 1 - Namshar (Zerg),Z,16,27.0,36.0,105,783,600,2425,300,0,92,156,0,0,0,0
0,210,Loss,Player 2 - Cuddlebear (Terran),T,17,24.0,31.0,125,1007,250,2250,200,150,0,0,0,0,0,0
0,240,Win,Player 1 - Namshar (Zerg),Z,16,29.0,36.0,70,167,325,2775,450,100,127,179,25,0,0,0
0,240,Loss,Player 2 - Cuddlebear (Terran),T,16,23.0,31.0,313,1063,200,2150,150,402,0,0,0,0,0,0
0,270,Win,Player 1 - Namshar (Zerg),Z,16,34.5,36.0,80,755,225,3075,750,125,108,156,75,25,25,0
0,270,Loss,Player 2 - Cuddlebear (Terran),T,17,26.0,31.0,273,951,300,2300,250,502,0,0,0,0,0,0
0,300,Win,Player 1 - Namshar (Zerg),Z,15,35.5,44.0,50,727,225,3225,850,275,43,156,50,175,175,0
0,300,Loss,Player 2 - Cuddlebear (Terran),T,19,30.0,39.0,233,1063,325,2650,400,552,0,0,0,0,0,0
1,0,Loss,Player 1 - Cuddlebear (Terran),T,12,12.0,15.0,50,0,0,1000,0,0,0,0,0,0,0,0
1,0,Win,Player 2 - Namshar (Zerg),Z,12,12.0,14.0,50,0,0,1050,0,0,0,0,0,0,0,0
1,30,Loss,Player 1 - Cuddlebear (Terran),T,13,14.0,15.0,0,699,150,1050,0,0,0,0,0,0,0,0
1,30,Win,Player 2 - Namshar (Zerg),Z,13,14.0,14.0,50,699,150,1100,0,0,0,0,0,0,0,0
1,60,Loss,Player 1 - Cuddlebear (Terran),T,15,16.0,23.0,70,755,200,1250,0,0,0,0,0,0,0,0
1,60,Win,Player 2 - Namshar (Zerg),Z,16,16.0,22.0,240,811,0,1350,0,0,0,0,0,0,0,0
1,90,Loss,Player 1 - Cuddlebear (Terran),T,17,18.0,23.0,190,839,275,1350,0,0,0,0,0,0,0,0
1,90,Win,Player 2 - Namshar (Zerg),Z,16,18.0,22.0,105,839,450,1350,0,0,0,0,0,0,0,0
1,120,Loss,Player 1 - Cuddlebear (Terran),T,18,19.0,23.0,370,783,200,1475,0,0,52,179,0,0,0,0
1,120,Win,Player 2 - Namshar (Zerg),Z,16,18.0,22.0,115,1007,775,1350,0,0,0,0,0,0,0,0
1,150,Loss,Player 1 - Cuddlebear (Terran),T,19,20.0,23.0,35,923,600,1675,0,0,58,156,50,0,0,0
1,150,Win,Player 2 - Namshar (Zerg),Z,19,20.0,22.0,350,979,650,1575,0,0,28,111,0,0,0,0
1,180,Loss,Player 1 - Cuddlebear (Terran),T,20,23.0,23.0,60,1035,600,1925,50,0,18,179,0,50,50,0
1,180,Win,Player 2 - Namshar (Zerg),Z,21,27.0,28.0,235,979,400,2275,0,0,80,111,0,0,0,0
1,210,Loss,Player 1 - Cuddlebear (Terran),T,21,24.0,31.0,235,1175,725,2125,100,0,24,156,150,50,50,0
1,210,Win,Player 2 - Namshar (Zerg),Z,20,28.0,28.0,125,1091,850,2325,100,0,100,67,0,0,0,0
1,240,Loss,Player 1 - Cuddlebear (Terran),T,23,26.0,46.0,525,1147,250,2700,100,0,112,291,150,50,50,0
1,240,Win,Player 2 - Namshar (Zerg),Z,25,31.5,36.0,120,1147,500,2950,375,25,40,111,0,0,0,0
1,270,Loss,Player 1 - Cuddlebear (Terran),T,25,32.0,46.0,315,1119,550,3000,100,0,124,313,100,200,50,0
1,270,Win,Player 2 - Namshar (Zerg),Z,28,40.5,44.0,75,1315,750,3200,375,25,96,156,0,0,0,0
1,300,Loss,Player 1 - Cuddlebear (Terran),T,28,40.0,46.0,30,1427,600,3500,300,0,219,335,125,200,50,0
1,300,Win,Player 2 - Namshar (Zerg),Z,33,45.5,50.0,290,1539,300,3950,525,25,152,156,0,0,0,0
1,330,Loss,Player 1 - Cuddlebear (Terran),T,31,47.0,54.0,185,1623,600,4150,500,0,106,313,225,325,50,0
1,330,Win,Player 2 - Namshar (Zerg),Z,36,49.5,50.0,220,1847,700,4150,575,25,62,179,50,0,0,0
1,360,Loss,Player 1 - Cuddlebear (Terran),T,33,53.0,62.0,390,1595,550,4550,700,0,301,335,150,325,50,0
1,360,Win,Player 2 - Namshar (Zerg),Z,37,57.5,66.0,235,1959,800,4700,875,25,118,156,50,0,0,0
1,390,Loss,Player 1 - Cuddlebear (Terran),T,36,63.0,70.0,460,1567,450,5150,900,0,217,335,100,475,50,0
1,390,Win,Player 2 - Namshar (Zerg),Z,43,65.0,82.0,335,2127,600,5525,1050,50,74,156,100,50,0,0
1,420,Loss,Player 1 - Cuddlebear (Terran),T,39,67.0,70.0,150,1987,1250,5400,1000,100,233,313,300,475,50,0
1,420,Win,Player 2 - Namshar (Zerg),Z,46,71.5,98.0,20,2183,1200,6000,1050,75,9,156,225,50,0,0
1,450,Loss,Player 1 - Cuddlebear (Terran),T,42,69.0,86.0,80,1735,1400,5650,750,350,177,492,500,425,0,50
1,450,Win,Player 2 - Namshar (Zerg),Z,47,72.0,98.0,425,2547,700,6600,1200,380,160,156,100,50,0,30
1,480,Loss,Player 1 - Cuddlebear (Terran),T,45,76.0,86.0,294,1763,1400,6000,950,350,409,649,500,425,0,50
1,480,Win,Player 2 - Namshar (Zerg),Z,57,83.0,98.0,290,2239,1050,7250,1200,380,288,492,0,150,0,30
1,510,Loss,Player 1 - Cuddlebear (Terran),T,49,86.0,101.0,326,2127,650,7500,1550,350,341,627,300,925,300,50
1,510,Win,Player 2 - Namshar (Zerg),Z,62,86.0,98.0,205,2715,1050,8050,1200,380,112,671,200,150,0,30
1,540,Loss,Player 1 - Cuddlebear (Terran),T,52,87.0,101.0,731,2323,700,7600,1250,699,527,649,300,975,300,50
1,540,Win,Player 2 - Namshar (Zerg),Z,58,91.0,98.0,65,2015,1500,7850,1200,1080,396,806,200,150,0,30
1,570,Loss,Player 1 - Cuddlebear (Terran),T,55,97.0,101.0,481,2155,1150,7850,1350,799,309,649,500,975,300,50
1,570,Win,Player 2 - Namshar (Zerg),Z,64,96.5,98.0,470,2435,550,8625,1675,980,540,671,300,150,0,30
1,600,Loss,Player 1 - Cuddlebear (Terran),T,57,108.0,117.0,541,2183,600,9050,2250,799,141,649,400,1475,800,50
1,600,Win,Player 2 - Namshar (Zerg),Z,63,93.5,90.0,820,2379,1100,8625,1825,1230,852,1007,200,250,100,30
1,630,Loss,Player 1 - Cuddlebear (Terran),T,60,109.0,117.0,576,2379,1200,8900,1950,1115,273,649,500,1475,800,50
1,630,Win,Player 2 - Namshar (Zerg),Z,65,105.5,130.0,955,2407,875,9475,1825,955,850,1007,350,450,100,30
1,660,Loss,Player 1 - Cuddlebear (Terran),T,64,106.0,125.0,851,2407,1050,8800,1400,1939,331,963,650,1275,600,350
1,660,Win,Player 2 - Namshar (Zerg),Z,64,116.5,122.0,815,2631,1800,8950,1375,1655,423,985,1075,450,100,80
